score,label
-965.4305,0.0
-965.43036,0.0
-965.4285,0.0
-965.4321,0.0
-965.4293,0.0
-965.42773,0.0
-965.4282,0.0
-965.4289,0.0
-965.4318,0.0
-965.43097,0.0
-965.4284,0.0
-965.4354,0.0
-965.4321,0.0
-965.43054,0.0
-965.43005,0.0
-965.4329,0.0
-965.4274,0.0
-965.42737,0.0
-965.4264,0.0
-965.4274,0.0
-965.4274,0.0
-965.43005,0.0
-965.42676,0.0
-965.4287,0.0
-965.42786,0.0
-965.4269,0.0
-965.4282,0.0
-965.4282,0.0
-965.4264,0.0
-965.4274,0.0
-965.4264,0.0
-965.42694,0.0
-965.42645,0.0
-965.4286,0.0
-965.4289,0.0
-965.4293,0.0
-965.4291,0.0
-965.429,0.0
-965.4266,0.0
-965.42615,0.0
-965.4249,0.0
-965.42786,0.0
-965.4282,0.0
-965.42694,0.0
-965.42596,0.0
-965.42834,0.0
-965.4271,0.0
-965.4266,0.0
-965.4281,0.0
-965.42737,0.0
-965.4287,0.0
-965.4286,0.0
-965.431,0.0
-965.43005,0.0
-965.4305,0.0
-965.4339,0.0
-965.4295,0.0
-965.4269,0.0
-965.4276,0.0
-965.42615,0.0
-965.4281,0.0
-965.42773,0.0
-965.4271,0.0
-965.4313,0.0
-965.4303,0.0
-965.43134,0.0
-965.4274,0.0
-965.42694,0.0
-965.4266,0.0
-965.4287,0.0
-965.42596,0.0
-965.42773,0.0
-965.4264,0.0
-965.4269,0.0
-965.4274,0.0
-965.4287,0.0
-965.42737,0.0
-965.4293,0.0
-965.4305,0.0
-965.43066,0.0
-965.43066,0.0
-965.4289,0.0
-965.4264,0.0
-965.42883,0.0
-965.42773,0.0
-965.43036,0.0
-965.4293,0.0
-965.42786,0.0
-965.4291,0.0
-965.4297,0.0
-965.43243,0.0
-965.43134,0.0
-965.4295,0.0
-965.43195,0.0
-965.43005,0.0
-965.43066,0.0
-965.42883,0.0
-965.4279,0.0
-965.42755,0.0
-965.42883,0.0
-965.43536,0.0
-965.4293,0.0
-965.4287,0.0
-965.429,0.0
-965.42957,0.0
-965.43225,0.0
-965.4293,0.0
-965.42834,0.0
-965.43195,0.0
-965.4308,0.0
-965.4305,0.0
-965.43164,0.0
-965.4281,0.0
-965.4315,1.0
-965.4295,1.0
-965.4294,1.0
-965.42773,1.0
-965.4295,1.0
-965.4293,1.0
-965.4295,1.0
-965.4285,1.0
-965.4338,0.0
-965.431,0.0
-965.42596,0.0
-965.4255,0.0
-965.4266,0.0
-965.4271,0.0
-965.4274,0.0
-965.429,0.0
-965.4293,0.0
-965.4303,0.0
-965.4269,0.0
-965.42725,0.0
-965.42694,0.0
-965.4279,0.0
-965.4269,0.0
-965.42804,0.0
-965.429,0.0
-965.43085,0.0
-965.4297,0.0
-965.431,0.0
-965.42834,0.0
-965.43005,0.0
-965.42737,0.0
-965.4298,0.0
-965.42676,0.0
-965.4271,0.0
-965.4279,0.0
-965.4297,0.0
-965.42773,0.0
-965.42834,0.0
-965.4285,0.0
-965.43066,0.0
-965.4293,0.0
-965.429,0.0
-965.42645,0.0
-965.42596,0.0
-965.4269,0.0
-965.4274,0.0
-965.42645,0.0
-965.4285,0.0
-965.4282,0.0
-965.4289,0.0
-965.4292,0.0
-965.4287,0.0
-965.4281,0.0
-965.42706,0.0
-965.4259,0.0
-965.4295,0.0
-965.42694,0.0
-965.42596,0.0
-965.42773,0.0
-965.42664,0.0
-965.4264,0.0
-965.4264,0.0
-965.4256,0.0
-965.4285,0.0
-965.42786,0.0
-965.42664,0.0
-965.42676,0.0
-965.4297,0.0
-965.4276,0.0
-965.4279,0.0
-965.42694,0.0
-965.42676,0.0
-965.4252,0.0
-965.42755,0.0
-965.42773,0.0
-965.42596,0.0
-965.4281,0.0
-965.4282,0.0
-965.4263,0.0
-965.4266,0.0
-965.42773,0.0
-965.4279,0.0
-965.42615,0.0
-965.4287,0.0
-965.4347,0.0
-965.43085,0.0
-965.4274,0.0
-965.4287,0.0
-965.4285,0.0
-965.431,0.0
-965.4276,0.0
-965.42645,0.0
-965.42737,0.0
-965.4308,0.0
-965.431,0.0
-965.4298,0.0
-965.4279,0.0
-965.4266,0.0
-965.4274,0.0
-965.42664,0.0
-965.42755,0.0
-965.42676,0.0
-965.42737,0.0
-965.42664,0.0
-965.4274,0.0
-965.4266,0.0
-965.4276,0.0
-965.42664,0.0
-965.42737,0.0
-965.42664,0.0
-965.42725,0.0
-965.4266,0.0
-965.42725,0.0
-965.4266,0.0
-965.42737,0.0
-965.42664,0.0
-965.4274,0.0
-965.42664,0.0
-965.42755,0.0
-965.42676,0.0
-965.42725,0.0
-965.4266,0.0
-965.4276,0.0
-965.4266,0.0
-965.42755,0.0
-965.42664,0.0
-965.4274,0.0
-965.4269,0.0
-965.42706,0.0
-965.4266,0.0
-965.42725,0.0
-965.42694,1.0
-965.42773,1.0
-965.4258,1.0
-965.42737,1.0
-965.42725,1.0
-965.42706,0.0
-965.4266,0.0
-965.4274,0.0
-965.4266,0.0
-965.42737,0.0
-965.4266,0.0
-965.42725,0.0
-965.4266,0.0
-965.42773,0.0
-965.42664,0.0
-965.4271,0.0
-965.4266,0.0
-965.42725,0.0
-965.42676,0.0
-965.42737,0.0
-965.4266,0.0
-965.42773,0.0
-965.42664,0.0
-965.4271,0.0
-965.4266,0.0
-965.42773,0.0
-965.42664,0.0
-965.42706,0.0
-965.4266,0.0
-965.42755,0.0
-965.42676,0.0
-965.42725,0.0
-965.4266,0.0
-965.42737,0.0
-965.4266,0.0
-965.42725,0.0
-965.4266,0.0
-965.42737,0.0
-965.4266,0.0
-965.42725,0.0
-965.4266,0.0
-965.42725,0.0
-965.4266,0.0
-965.42755,0.0
-965.4259,0.0
-965.42676,0.0
-965.4266,0.0
-965.42694,0.0
-965.4264,0.0
-965.42676,0.0
-965.4264,0.0
-965.42755,0.0
-965.4266,0.0
-965.42737,0.0
-965.4266,0.0
-965.42694,0.0
-965.42645,0.0
-965.4271,0.0
-965.4264,0.0
-965.4271,0.0
-965.4264,0.0
-965.42725,0.0
-965.42645,0.0
-965.42725,0.0
-965.4264,0.0
-965.4271,0.0
-965.4266,0.0
-965.42694,0.0
-965.42645,0.0
-965.4274,0.0
-965.4264,0.0
-965.4271,1.0
-965.4266,1.0
-965.4269,1.0
-965.42645,1.0
-965.42755,1.0
-965.4266,0.0
-965.42694,0.0
-965.4264,0.0
-965.4276,0.0
-965.4281,0.0
-965.4287,0.0
-965.42834,0.0
-965.4258,0.0
-965.42957,0.0
-965.43396,0.0
-965.4303,0.0
-965.4249,0.0
-965.4333,0.0
-965.42834,0.0
-965.4295,0.0
-965.4271,0.0
-965.4287,0.0
-965.4286,0.0
-965.42883,0.0
-965.42883,0.0
-965.4293,0.0
-965.42706,0.0
-965.42615,0.0
-965.4249,0.0
-965.42773,0.0
-965.4279,0.0
-965.42804,0.0
-965.4266,0.0
-965.4284,0.0
-965.42737,0.0
-965.42737,0.0
-965.4291,0.0
-965.42804,0.0
-965.42664,0.0
-965.4266,0.0
-965.42596,0.0
-965.4293,0.0
-965.4282,0.0
-965.4291,0.0
-965.42773,0.0
-965.42694,0.0
-965.42737,0.0
-965.4271,0.0
-965.4269,0.0
-965.4269,0.0
-965.42725,0.0
-965.42755,0.0
-965.42566,0.0
-965.42786,0.0
-965.42676,1.0
-965.4263,1.0
-965.4258,1.0
-965.4285,1.0
-965.4259,1.0
-965.4252,0.0
-965.42676,0.0
-965.42725,0.0
-965.4251,0.0
-965.42883,0.0
-965.4287,0.0
-965.4315,0.0
-965.4286,0.0
-965.4284,0.0
-965.4297,0.0
-965.4295,0.0
-965.42706,0.0
-965.42786,0.0
-965.4297,0.0
-965.4294,0.0
-965.42725,0.0
-965.43085,0.0
-965.42737,0.0
-965.43085,0.0
-965.4286,0.0
-965.42834,0.0
-965.42773,0.0
-965.42883,0.0
-965.4341,0.0
-965.4321,0.0
-965.43134,0.0
-965.4313,0.0
-965.4285,0.0
-965.43176,0.0
-965.43066,0.0
-965.43085,0.0
-965.4352,0.0
-965.42957,0.0
-965.42737,0.0
-965.43146,0.0
-965.4297,0.0
-965.4276,0.0
-965.432,0.0
-965.4293,0.0
-965.4297,0.0
-965.4289,0.0
-965.42883,0.0
-965.4287,0.0
-965.4285,0.0
-965.43085,0.0
-965.43134,0.0
-965.42755,0.0
-965.4331,0.0
-965.43146,0.0
-965.42645,0.0
-965.43085,0.0
-965.43176,0.0
-965.43097,0.0
-965.4342,0.0
-965.4342,0.0
-965.4313,0.0
-965.42957,0.0
-965.43134,0.0
-965.4302,0.0
-965.42737,0.0
-965.42596,0.0
-965.42615,0.0
-965.4271,0.0
-965.4295,0.0
-965.43054,0.0
-965.4308,0.0
-965.4285,0.0
-965.43195,0.0
-965.43225,0.0
-965.4333,0.0
-965.42755,0.0
-965.429,0.0
-965.4291,0.0
-965.42737,0.0
-965.4286,0.0
-965.4284,0.0
-965.4302,0.0
-965.4289,0.0
-965.42755,0.0
-965.4336,0.0
